school,school_type,latitude,longitude,student_count
Stockholm School of Economics in Riga,College,"56.9591376, 24.1076194",1
Suffield Academy,College,"41.9851219, -72.65085979999999",1
Swarthmore College,College,"39.90383300000001, -75.3526567",2
Tabor Academy,School,"41.7080104, -70.767304",1
Taft School,School,"41.6034679, -73.1238846",3
The Ethel Walker School,School,"41.8491469, -72.8316078",0
The Frederick Gunn School,School,"41.6279566, -73.3115905",0
The Hotchkiss School,School,"41.94492779999999, -73.43986389999999",2
The Lawrenceville School,School,"40.294186, -74.7249281",0
Tonbridge School,School,"51.200123, 0.275166",1
Trinity College,College,"41.7477163, -72.6905038",0
Tufts University,College,"42.4085371, -71.1182729",1
University of British Columbia,College,"49.26060520000001, -123.2459939",3
University of Chicago,College,"41.7886079, -87.5987133",1
University of New Hampshire,College,"43.138948, -70.9370252",1
University of North Carolina at Chapel Hill,College,"35.9049122, -79.0469134",1
University of Pennsylvania,College,"39.9522188, -75.1932137",2
University of Richmond,College,"37.5758243, -77.5397192",2
Vanderbilt University,College,"36.1447034, -86.8026551",3
Vassar College,College,"41.68667809999999, -73.8936812",2
Washington and Lee University,College,"37.7898776, -79.4458935",1
Washington University in St. Louis,College,"38.6487895, -90.31079620000001",1
Wellesley College,College,"42.2935733, -71.3059277",2
Wesleyan University,College,"41.5567587, -72.6568336",2
West Buckland School,School,"51.0668874, -3.9046885",1
Westminister School,School,"41.8896983, -72.7964665",1
Williams College,College,"42.7128843, -73.20313949999999",1
Woodberry Forest School,School,"38.2911875, -78.1218027",3
Woodside Priory School,School,"37.3760382, -122.2125591",0
Yale University,College,"41.3163244, -72.92234309999999",9
